id,created_at,updated_at,language,name,description,is_alcoholic,category_id
555,2025-07-09 18:29:27.143+00,2025-07-09 18:29:27.143+00,RUS,Банановый ликер,,True,23
556,2025-07-09 18:29:27.15+00,2025-07-09 18:29:27.15+00,RUS,Банановый сок,,False,34
557,2025-07-09 18:29:27.155+00,2025-07-09 18:29:27.155+00,RUS,Бейлис Тирамису,,True,23
558,2025-07-09 18:29:27.163+00,2025-07-09 18:29:27.163+00,RUS,Белая текила,,True,38
559,2025-07-09 18:29:27.17+00,2025-07-09 18:29:27.17+00,RUS,Белый ликер crème de menthe,,True,23
560,2025-07-09 18:29:27.177+00,2025-07-09 18:29:27.177+00,RUS,Белый ликер curasao,,True,23
561,2025-07-09 18:29:27.183+00,2025-07-09 18:29:27.183+00,RUS,Белый мятный ликер,,True,23
562,2025-07-09 18:29:27.188+00,2025-07-09 18:29:27.188+00,RUS,Белый портвейн,,False,37
563,2025-07-09 18:29:27.194+00,2025-07-09 18:29:27.194+00,RUS,Биттер angostura,,False,37
564,2025-07-09 18:29:27.2+00,2025-07-09 18:29:27.2+00,RUS,Бренди,,True,37
565,2025-07-09 18:29:27.206+00,2025-07-09 18:29:27.206+00,RUS,Бурбон,,False,37
566,2025-07-09 18:29:27.213+00,2025-07-09 18:29:27.213+00,RUS,Быстрорастворимый какао,,False,33
567,2025-07-09 18:29:27.219+00,2025-07-09 18:29:27.219+00,RUS,Вермут,,False,37
568,2025-07-09 18:29:27.225+00,2025-07-09 18:29:27.225+00,RUS,Вермут bianco,,False,37
569,2025-07-09 18:29:27.231+00,2025-07-09 18:29:27.231+00,RUS,Вермут bianco белое,,False,37
570,2025-07-09 18:29:27.238+00,2025-07-09 18:29:27.238+00,RUS,Вермут nolly prat,,False,37
571,2025-07-09 18:29:27.244+00,2025-07-09 18:29:27.244+00,RUS,Вермут rosso,,False,37
572,2025-07-09 18:29:27.25+00,2025-07-09 18:29:27.25+00,RUS,Вермут rosso antico,,False,37
573,2025-07-09 18:29:27.256+00,2025-07-09 18:29:27.256+00,RUS,Вермут rosso àntico красное,,False,37
574,2025-07-09 18:29:27.261+00,2025-07-09 18:29:27.261+00,RUS,Вермут rosso красное,,False,37
575,2025-07-09 18:29:27.268+00,2025-07-09 18:29:27.268+00,RUS,Вермут rosso красный,,False,37
576,2025-07-09 18:29:27.275+00,2025-07-09 18:29:27.275+00,RUS,Вермут rosso розовое,,False,37
577,2025-07-09 18:29:27.284+00,2025-07-09 18:29:27.284+00,RUS,Веточка мяты,,False,39
578,2025-07-09 18:29:27.292+00,2025-07-09 18:29:27.292+00,RUS,Вино dubonnet,,True,40
579,2025-07-09 18:29:27.298+00,2025-07-09 18:29:27.298+00,RUS,Вино dubonnet красное,,True,40
580,2025-07-09 18:29:27.305+00,2025-07-09 18:29:27.305+00,RUS,Вино красное полусухое,,True,40
581,2025-07-09 18:29:27.314+00,2025-07-09 18:29:27.314+00,RUS,Виноград,,True,41
582,2025-07-09 18:29:27.321+00,2025-07-09 18:29:27.321+00,RUS,Виноградный сок,,True,34
583,2025-07-09 18:29:27.326+00,2025-07-09 18:29:27.326+00,RUS,Виски,,True,36
584,2025-07-09 18:29:27.336+00,2025-07-09 18:29:27.336+00,RUS,Вишневая водка,,True,42
585,2025-07-09 18:29:27.342+00,2025-07-09 18:29:27.342+00,RUS,Вишневое мороженое,,False,28
586,2025-07-09 18:29:27.348+00,2025-07-09 18:29:27.348+00,RUS,Вишневый ликер,,True,23
587,2025-07-09 18:29:27.353+00,2025-07-09 18:29:27.353+00,RUS,Вишневый сок,,False,34
588,2025-07-09 18:29:27.359+00,2025-07-09 18:29:27.359+00,RUS,Вишня,,False,41
589,2025-07-09 18:29:27.365+00,2025-07-09 18:29:27.365+00,RUS,Вишня зеленая,,False,41
590,2025-07-09 18:29:27.371+00,2025-07-09 18:29:27.371+00,RUS,Вишня красная,,False,41
591,2025-07-09 18:29:27.379+00,2025-07-09 18:29:27.379+00,RUS,Вода,,False,43
592,2025-07-09 18:29:27.385+00,2025-07-09 18:29:27.385+00,RUS,Водка,,True,42
593,2025-07-09 18:29:27.392+00,2025-07-09 18:29:27.392+00,RUS,Водка aquavit,,True,42
594,2025-07-09 18:29:27.401+00,2025-07-09 18:29:27.401+00,RUS,Водка finlandiaredberry,,True,42
595,2025-07-09 18:29:27.409+00,2025-07-09 18:29:27.409+00,RUS,Ворчестершерский соус,,False,39
596,2025-07-09 18:29:27.416+00,2025-07-09 18:29:27.416+00,RUS,Ворчестершрский соус,,False,39
597,2025-07-09 18:29:27.426+00,2025-07-09 18:29:27.426+00,RUS,Гранатовый сироп,,False,44
598,2025-07-09 18:29:27.433+00,2025-07-09 18:29:27.433+00,RUS,Гранатовый сироп crenadine,,False,44
599,2025-07-09 18:29:27.441+00,2025-07-09 18:29:27.441+00,RUS,Грейпфрут,,False,31
600,2025-07-09 18:29:27.446+00,2025-07-09 18:29:27.446+00,RUS,Грушевая водка williamsbirne,,True,42
601,2025-07-09 18:29:27.455+00,2025-07-09 18:29:27.455+00,RUS,Джин,,True,45
602,2025-07-09 18:29:27.462+00,2025-07-09 18:29:27.462+00,RUS,Дыня,,False,31
603,2025-07-09 18:29:27.47+00,2025-07-09 18:29:27.47+00,RUS,Ежевичный бренди,,True,37
604,2025-07-09 18:29:27.476+00,2025-07-09 18:29:27.476+00,RUS,Ежевичный ликер,,True,23
605,2025-07-09 18:29:27.482+00,2025-07-09 18:29:27.482+00,RUS,Желток,,False,28
606,2025-07-09 18:29:27.488+00,2025-07-09 18:29:27.488+00,RUS,Желтый ликер chartreuse,,True,23
607,2025-07-09 18:29:27.493+00,2025-07-09 18:29:27.493+00,RUS,Зеленый банановый ликер,,True,23
608,2025-07-09 18:29:27.5+00,2025-07-09 18:29:27.5+00,RUS,Зеленый или белый ликер crème de menthe,,True,23
609,2025-07-09 18:29:27.506+00,2025-07-09 18:29:27.506+00,RUS,Зеленый ликер crème de menthe,,True,23
610,2025-07-09 18:29:27.511+00,2025-07-09 18:29:27.511+00,RUS,Зеленый мятный ликер,,True,23
611,2025-07-09 18:29:27.517+00,2025-07-09 18:29:27.517+00,RUS,Золотая текила,,True,38
612,2025-07-09 18:29:27.522+00,2025-07-09 18:29:27.522+00,RUS,Золотая текила sierra,,True,38
613,2025-07-09 18:29:27.528+00,2025-07-09 18:29:27.528+00,RUS,Имбирный сироп,,False,44
614,2025-07-09 18:29:27.535+00,2025-07-09 18:29:27.535+00,RUS,Имбирный эль,,False,37
615,2025-07-09 18:29:27.541+00,2025-07-09 18:29:27.541+00,RUS,Имбирь,,False,39
616,2025-07-09 18:29:27.547+00,2025-07-09 18:29:27.547+00,RUS,Ирландский виски,,True,36
617,2025-07-09 18:29:27.554+00,2025-07-09 18:29:27.554+00,RUS,Какао-ликер,,True,23
618,2025-07-09 18:29:27.559+00,2025-07-09 18:29:27.559+00,RUS,Калуа,,True,23
619,2025-07-09 18:29:27.567+00,2025-07-09 18:29:27.567+00,RUS,Кальвадос,,False,37
620,2025-07-09 18:29:27.573+00,2025-07-09 18:29:27.573+00,RUS,Канадский виски,,True,36
621,2025-07-09 18:29:27.579+00,2025-07-09 18:29:27.579+00,RUS,Карамболь,,False,31
622,2025-07-09 18:29:27.584+00,2025-07-09 18:29:27.584+00,RUS,Карамельный сироп,,False,44
623,2025-07-09 18:29:27.59+00,2025-07-09 18:29:27.59+00,RUS,Карликовая груша,,False,31
624,2025-07-09 18:29:27.597+00,2025-07-09 18:29:27.597+00,RUS,Киви,,False,31
625,2025-07-09 18:29:27.603+00,2025-07-09 18:29:27.603+00,RUS,Кленовый ликер,,True,23
626,2025-07-09 18:29:27.609+00,2025-07-09 18:29:27.609+00,RUS,Клубника,,False,41
627,2025-07-09 18:29:27.614+00,2025-07-09 18:29:27.614+00,RUS,Клюквенный сок,,False,34
628,2025-07-09 18:29:27.623+00,2025-07-09 18:29:27.623+00,RUS,Кокосовая стружка,,False,31
