Основная категория,Подкатегория,,Main category,Daughters category,,
Абсент,Белый,,Absinthe,White,,
Абсент,Черный,,Absinthe,Black,,
,,,,,,
Настойки,Наливка,,Liquors,Liqueur,,
Настойки,Бальзам,,Liquors,Balsam,,
Настойки,Биттер,,Liquors,Bitter,,
Настойки,Хреновуха,,Liquors,Khrenovukha,,
Настойки,Зубровка,,Liquors,Zubrovka,,
Настойки,Ерофеич,,Liquors,Erofeich,,
Настойки,Ратафия,,Liquors,Ratafia,,
